,TILD001,TILD028,VUILD64,VUILD65,VUHD65,VUHD66,VUHD70,VUILD59,VUILD60,VUILD61,VUILD63,THD0001,TILD015,THD0002,TILD010,TILD006,THD0005,VUHD71,VUHD67,VUHD68,VUILD53,VUHD69
CXCL1,1.212201448,0.45661141,0.773135102,0.389749536,0.168129892,0.63122073,0.025229044,0.161765251,0.204957953,0.461853259,0.054867566,0.613928819,0.376856366,0.891123394,0.141062634,0.179657872,0.209330947,0.034184578,0.038394669,0.13445464,0.880558343,0.046039273
CXCL3,8.585359148,8.776392762,1.627576562,1.177651724,5.808250403,4.991867796,7.370818936,7.33977211,0.708625141,2.070769128,0.894792194,7.797357288,5.92337783,13.38609822,2.98766327,4.939786723,6.551121214,1.184825154,1.365497776,13.22546659,9.751514161,0.720364825
CXCL2,10.98345152,8.921581904,2.073674878,0.968748995,2.686729507,3.948989314,1.537462898,3.387814942,0.707108434,3.051929521,0.513509804,7.198706296,8.303179546,9.303203712,3.416760563,1.021473316,4.538027943,0.402711815,0.616274702,7.273398466,10.31523297,1.797125836
MTHFD2L,0.202112595,0.146096483,0.148192682,0.08919866,0.320301854,0.255649592,0.102646738,0.175405493,0.157096836,0.215731411,0.179735064,0.285357633,0.187238074,0.198145259,0.115861058,0.115715286,0.077342254,0.08824599,0.164140262,0.188445324,0.137280454,0.131134618
EREG,4.592670328,2.958299755,0.247630851,0.208352798,0.961089082,0.675425217,0.388669559,0.561532875,0.181722106,0.604119669,0.117278598,2.117375922,2.559629291,3.013512635,0.603077467,1.162086962,2.668280261,0.035534706,0.847884766,0.807233227,2.071468312,0.800403941
AREG,15.75245363,19.51090831,3.109677247,1.251990199,8.096554622,0.497410741,2.431735959,1.206610733,3.199823377,6.16047995,2.707096128,14.09048594,9.527645627,19.66051086,5.327181003,10.59408816,1.485098797,0.206366481,6.38240243,3.970764208,4.437382252,3.731263016
PARM1,0.022014844,0.028807371,0.090356609,0.028244195,0.024420703,0.058634088,0.000704367,0.026775101,0.028358318,0.070310096,0.03651268,0.026169068,0.05791333,0.024618262,0.032189626,0.027268169,0.02459249,0.009022037,0.018865516,0.001856102,0.020347806,0.024523705
RCHY1,0.110913668,0.104624015,0.08687474,0.056888328,0.203261026,0.161920991,0.16816635,0.143545642,0.107833983,0.135880926,0.111578405,0.121358006,0.155417278,0.091788063,0.057886953,0.015892889,0.097649031,0.061694511,0.155345835,0.144768156,0.187901752,0.15326182
THAP6,0.058435224,0.060718602,0.03805754,0.042527541,0.111510094,0.083436183,0.09633773,0.085589682,0.09820469,0.082632515,0.080080766,0.070013636,0.114634801,0.074458332,0.050965178,0.017187118,0.088638454,0.025875505,0.101798679,0.090849049,0.046627216,0.090484124
CDKL2,0.001226029,0.001064766,0.018756037,0.003140662,0.0120738,0.060288907,0.002346196,0.005760407,0.010092021,0.054029375,0.020796599,0.013632321,0.002690886,0.011806349,0.001928216,0.0015431,0.003638983,0.002086591,0.007956777,0.001025547,0.000817836,0.000186336
G3BP2,0.581267116,0.586480219,0.429185058,0.247147458,0.776223882,0.532583412,0.580687001,0.553857111,0.38036517,0.552453018,0.498445148,0.60623728,0.905709386,0.501016213,0.495767232,0.305470519,0.600968987,0.173699178,0.546809496,0.662450924,0.350356526,0.812319037
USO1,0.37048665,0.382177929,0.46443565,0.310137141,0.837640278,0.426699975,0.44871075,0.625293839,0.376335568,0.476620085,0.510577346,0.37434737,0.653058926,0.325702746,0.317333289,0.23324933,0.506221449,0.155490558,0.552913084,0.676481492,0.307740088,0.524901771
NAAA,0.293421638,0.605006345,0.516404961,0.408822369,0.590843289,0.436106029,0.36613845,0.585113073,0.664375311,0.494274618,0.461061796,1.206991021,0.90145155,0.645604078,0.308457579,0.187530408,0.557513119,0.268937548,0.82991042,0.653706326,0.243206064,1.070996172
